"method","loc","cyclo","calls","nbd","param"
"javaProject.com.controller.Type.isSubtype(String dottedSubtype, String collectionType)",45,7,3,2,2
"javaProject.com.controller.Type.addClassAndGetClassVertex(XClass xclass)",32,6,5,2,1
"javaProject.com.controller.Type.isSubtype(ClassDescriptor subDesc, ClassDescriptor... superDesc)",13,5,2,2,2
"javaProject.com.model.Man.foo()",15,5,1,1,0
"javaProject.com.controller.Type$SupertypeQueryResults.containsType(ClassDescriptor possibleSupertypeClassDescriptor)",10,3,1,2,1
"javaProject.com.controller.Type.isSubtype(ClassDescriptor subDesc, ClassDescriptor superDesc)",8,3,1,2,2
"javaProject.com.model.Woman.foo()",8,3,0,1,0
"javaProject.com.controller.Type.traverseSupertypes(ClassDescriptor start)",24,2,5,2,1
"javaProject.com.controller.Type.computeKnownSubtypes(ClassDescriptor classDescriptor)",21,2,3,2,1
"javaProject.com.controller.Type.computeKnownSupertypes(ClassDescriptor classDescriptor)",14,2,3,2,1
"javaProject.com.controller.Type.traverseSupertypesDepthFirstHelper(ClassDescriptor cur, String visitor, Set<ClassDescriptor> seen)",10,2,3,2,3
"javaProject.com.view.QueueViewer.main(String[] args)",10,2,3,1,1
"javaProject.com.controller.Type.traverseEdge(ClassVertex vertex, ClassDescriptor supertypeDescriptor, boolean isInterfaceEdge)",13,1,0,2,3
"javaProject.com.controller.Type.hasKnownSubclasses(ClassDescriptor classDescriptor)",12,1,1,2,1
"javaProject.com.controller.Type.isSubtype0(ClassDescriptor subDesc, ClassDescriptor superDesc)",11,1,0,2,2
"javaProject.com.controller.Type.addClass(XClass xclass)",9,1,1,2,1
"javaProject.com.controller.Type.addToWorkList(LinkedList<SupertypeTraversalPath> workList, SupertypeTraversalPath curPath, ClassDescriptor supertypeDescriptor)",9,1,0,2,3
"javaProject.com.controller.Type$SupertypeTraversalPath.fork(ClassVertex next)",5,1,2,2,1
"javaProject.com.controller.Type.Type()",5,1,0,2,0
"javaProject.com.controller.Type$SupertypeTraversalPath.toString()",3,1,1,2,0
"javaProject.com.controller.Type.addClassVertexForMissingClass(ClassDescriptor supertypeDescriptor, boolean isInterfaceEdge)",3,1,0,2,2
"javaProject.com.controller.Type.addSupertypeEdges(ClassVertex vertex, LinkedList<XClass> workList)",3,1,0,2,2
"javaProject.com.controller.Type$SupertypeTraversalPath.SupertypeTraversalPath(ClassVertex next)",3,1,0,2,1
"javaProject.com.controller.Type.isApplicationClass(ClassDescriptor descriptor)",3,1,0,2,1
"javaProject.com.controller.Type.isContainer(ReferenceType target)",3,1,0,2,1
"javaProject.com.controller.Type.resolveClassVertex(ClassDescriptor supertypeDescriptor)",3,1,0,2,1
"javaProject.com.controller.Type.instanceOf(ClassDescriptor subDescriptor, Class<?> c)",2,1,2,2,2
"javaProject.com.controller.Type.traverseSupertypesDepthFirst(ClassDescriptor start, String visitor)",2,1,1,2,2
"javaProject.com.controller.Type$SupertypeQueryResults.addSupertype(ClassDescriptor classDescriptor)",2,1,1,2,1
"javaProject.com.controller.Type$SupertypeTraversalPath.hasBeenSeen(ClassDescriptor classDescriptor)",2,1,1,2,1
"javaProject.com.controller.Type$SupertypeTraversalPath.markSeen(ClassDescriptor classDescriptor)",2,1,1,2,1
"javaProject.com.controller.Type.addVertexToGraph(ClassDescriptor classDescriptor, ClassVertex vertex)",2,1,0,2,2
"javaProject.com.controller.Type.instanceOf(ClassDescriptor subDescriptor, String dottedSupertype)",2,1,0,2,2
"javaProject.com.controller.Type.instanceOf(ClassVertex subtype, String dottedSupertype)",2,1,0,2,2
"javaProject.com.controller.Type$SupertypeQueryResults.setEncounteredMissingClasses(boolean encounteredMissingClasses)",2,1,0,2,1
"javaProject.com.controller.Type$SupertypeTraversalPath.setNext(ClassVertex next)",2,1,0,2,1
"javaProject.com.controller.Type.isCollection(ReferenceType target)",2,1,0,2,1
"javaProject.com.controller.Type$SupertypeTraversalPath.getNext()",2,1,0,2,0
"javaProject.com.model.Man.getName()",2,1,1,1,0
"javaProject.com.model.Woman.getName()",2,1,1,1,0
"javaProject.com.model.Man.Man(String name)",2,1,0,1,1
"javaProject.com.model.Man.searchFor(String name)",2,1,0,1,1
"javaProject.com.model.Man.searchFor(int code)",2,1,0,1,1
"javaProject.com.model.Woman.Woman(String name)",2,1,0,1,1
"javaProject.com.controller.ClassWithComments.foo()",8,1,0,0,0
"javaProject.com.controller.Dispatcher.Dispatcher()",6,1,0,0,0
"javaProject.com.controller.Dispatcher.next()",5,1,1,0,0
"javaProject.com.controller.XClass.getXMethods()",3,1,0,0,0
"javaProject.others.AnalysisContext.currentAnalysisContext()",3,1,0,0,0
"javaProject.others.ClassVertex.isFinished()",3,1,0,0,0
"javaProject.com.model.Human.Human(String name)",2,1,0,0,1
"javaProject.com.controller.Dispatcher.hasNext()",2,1,0,0,0
"javaProject.com.model.Child.getName()",2,1,0,0,0
"javaProject.com.model.Human.getName()",2,1,0,0,0
"javaProject.com.model.Person.getName()",0,1,0,0,0
